gene_symbol	module_id	module_class	sensor_family	activation_tier	scoring_direction	cell_type_breadth	detectability	also_in_module	doi	aliases	sensor	panel_source
IRAK1	SIGNALING_CONTEXT_TLR	signal_kinase	TLR	Early	positive	Broad	low	SIGNALING_CONTEXT|IFN_I_OUTPUT	10.1084/jem.20042372			
IRAK2	SIGNALING_CONTEXT_TLR	signal_transduction	TLR	Active	positive	Broad	medium		10.3389/fimmu.2023.1133354			
IRAK4	SIGNALING_CONTEXT_TLR	signal_kinase	TLR	Early	positive	Broad	low	SIGNALING_CONTEXT|IFN_I_OUTPUT	10.1016/j.immuni.2005.09.016			
IRF1	SIGNALING_CONTEXT_IFN_JAK_STAT	transcriptional_effector		Active	positive	Broad	high		10.1073/pnas.0607181103			
IRF3	SIGNALING_CONTEXT_TBK1_IRF	transcriptional_effector		Early	positive	Broad	medium		10.1038/ni921			
IRF5	SIGNALING_CONTEXT_TLR	transcriptional_effector		Active	positive	Immune-enriched	low		10.1093/intimm/dxy032			
IRF7	SIGNALING_CONTEXT_TBK1_IRF	transcriptional_effector		Active	positive	Broad	medium	SIGNALING_CONTEXT	10.1038/nature03464			
IRF9	SIGNALING_CONTEXT_IFN_JAK_STAT	transcriptional_effector		Active	positive	Broad	medium		10.4161/jkst.27521			
JAK1	SIGNALING_CONTEXT_IFN_JAK_STAT	signal_transduction		Active	positive	Broad	high		10.1038/s41392-021-00791-1			
JAK2	SIGNALING_CONTEXT_IFN_JAK_STAT	signal_transduction		Active	positive	Broad	medium		10.1038/s41392-021-00791-1			
MAP3K7	SIGNALING_CONTEXT_NFKB	signal_kinase	Multi	Active	positive	Broad	medium		10.1038/ni1255			
MYD88	SIGNALING_CONTEXT_TLR	adaptor_signaling	TLR	Early	positive	Broad	medium		10.1038/ni758			
NFKB1	SIGNALING_CONTEXT_NFKB	transcriptional_effector		Early	positive	Broad	high	SENESCENCE|SASP|SIGNALING_CONTEXT	10.1101/cshperspect.a000034			
NFKB2	SIGNALING_CONTEXT_NFKB	transcriptional_effector		Early	positive	Broad	medium	SIGNALING_CONTEXT	10.1101/cshperspect.a000034			
OTULIN	SIGNALING_CONTEXT_NFKB	ubiquitin_regulation		Active	inverse	Broad	medium		10.1016/j.molcel.2014.03.016			
PARP14	SIGNALING_CONTEXT_IFN_JAK_STAT	transcriptional_effector		Active	positive	Broad	high	SIGNALING_CONTEXT	10.1038/s41467-023-41737-1			
REL	SIGNALING_CONTEXT_NFKB	transcriptional_effector		Early	positive	Broad	high	SIGNALING_CONTEXT	10.1101/cshperspect.a000034			
RELA	SIGNALING_CONTEXT_NFKB	transcriptional_effector		Early	positive	Broad	low	SASP|SIGNALING_CONTEXT	10.1101/cshperspect.a000034			
RELB	SIGNALING_CONTEXT_NFKB	transcriptional_effector		Early	positive	Broad	medium	SIGNALING_CONTEXT	10.1101/cshperspect.a000034			
RIPK2	SIGNALING_CONTEXT_NFKB	signal_transduction	Multi	Active	positive	Immune-enriched	low		10.1038/s41467-018-06451-3			
SENP2	SIGNALING_CONTEXT_NFKB	ubiquitin_regulation	Multi	Active	inverse	Broad	medium		10.1093/jmcb/mjr020			
SENP7	SIGNALING_CONTEXT_TBK1_IRF	signal_transduction	cGAS-STING	Active	positive	Broad	high		10.1371/journal.ppat.1006156			
STAT1	SIGNALING_CONTEXT_IFN_JAK_STAT	transcriptional_effector		Active	positive	Broad	high		10.1038/nrm909			
STAT2	SIGNALING_CONTEXT_IFN_JAK_STAT	transcriptional_effector		Active	positive	Broad	medium		10.4161/jkst.27521			
STAT3	SIGNALING_CONTEXT_IFN_JAK_STAT	transcriptional_effector		Active	positive	Broad	high		10.1038/s41392-021-00791-1			
TBK1	SIGNALING_CONTEXT_TBK1_IRF	signal_transduction		Early	positive	Broad	medium		10.1038/ni921			
TICAM1	SIGNALING_CONTEXT_TLR	adaptor_signaling	TLR	Early	positive	Broad	low	NASP_RNA_SENSING	10.1038/ni886			
TICAM2	SIGNALING_CONTEXT_TLR	adaptor_signaling	TLR	Early	positive	Immune-enriched	low		10.1038/nri1391			
TIRAP	SIGNALING_CONTEXT_TLR	adaptor_signaling	TLR	Early	positive	Broad	low		10.1155/2023/2899271			
TLR4	SIGNALING_CONTEXT_TLR	surface_tlr_sensor	TLR	Post-NASP	positive	Adipose/Immune-enriched	medium	NFKB_CYTOKINE_OUTPUT	10.3892/ijmm.2020.4530		lps_sensor	
TRAF3	SIGNALING_CONTEXT_TBK1_IRF	adaptor_signaling	cGAS-STING	Early	positive	Broad	medium	NFKB_CYTOKINE_OUTPUT	10.1038/s41392-022-01287-2			
TRAF6	SIGNALING_CONTEXT_TLR	adaptor_signaling	cGAS-STING	Early	positive	Broad	low		10.1016/j.bbrc.2019.05.022			
TRIM21	SIGNALING_CONTEXT_TBK1_IRF	ubiquitin_regulation		Active	inverse	Broad	low		10.1038/ni.2492			
TRIM3	SIGNALING_CONTEXT_TLR	ubiquitin_regulation	TLR	Active	positive	Broad	low		10.1073/pnas.2002472117			
TRIM56	SIGNALING_CONTEXT_TBK1_IRF	ubiquitin_regulation	cGAS-STING	Active	positive	Broad	medium		10.1038/s41467-018-02936-3			
UNC93B1	SIGNALING_CONTEXT_TLR	adaptor_signaling	TLR	Early	positive	Broad	low		10.7554/eLife.00291			
XBP1	SIGNALING_CONTEXT_TLR	transcriptional_effector	TLR	Active	positive	Broad	high		10.1038/ni.1857			
IFNAR1	SIGNALING_CONTEXT_IFN_JAK_STAT	signal_transduction		Active	positive	Broad	medium		10.1016/0092-8674(90)90738-Z			
IFNAR2	SIGNALING_CONTEXT_IFN_JAK_STAT	signal_transduction		Active	positive	Broad	medium		10.1074/jbc.270.37.21606			
IFIT5	IFN_I_OUTPUT	ifn_antiviral_effector		Active	positive	Broad	low		10.1073/pnas.1412842111			
CARD11	SIGNALING_CONTEXT_NFKB	adaptor_signaling		early	positive	Immune-enriched	medium		10.1093/emboj/cdf505			
IL18R1	SIGNALING_CONTEXT_NFKB	signal_transduction		early	positive	Immune-enriched	low		10.1074/jbc.272.41.25737	CD218a		
RIPK1	SIGNALING_CONTEXT_NFKB	signal_transduction		Active	positive	Broad	low		10.1016/S1074-7613(00)80252-6			
CD14	SIGNALING_CONTEXT_TLR	surface_tlr_sensor	TLR	early	positive	Myeloid-enriched	high		10.1016/j.cell.2011.09.051			
CD70	INFLAMMAGING	inflammaging_cytokine		Active	positive	Immune-enriched	low		10.1016/0092-8674(93)90133-B	TNFSF7; CD27LG		
TNFRSF11A	SIGNALING_CONTEXT_NFKB	signal_transduction		early	positive	Immune-enriched	low		10.1074/jbc.274.12.7724	RANK		
TNFRSF14	SIGNALING_CONTEXT_NFKB	signal_transduction		Active	positive	Immune-enriched	high		10.1074/jbc.272.22.14029			
TNFSF13B	INFLAMMAGING	inflammaging_cytokine		Active	positive	Immune-enriched	medium		10.1084/jem.190.11.1697	BAFF		
TRAF5	SIGNALING_CONTEXT_NFKB	adaptor_signaling		early	positive	Immune-enriched	medium	SIGNALING_CONTEXT_NFKB	10.1073/pnas.96.17.9803			
ZC3H12A	NASP_FEEDBACK	induced_negative_regulator		Active	positive	Broad	medium	NASP_FEEDBACK	10.1038/nature07924			
ZFP36	NASP_FEEDBACK	induced_negative_regulator		Active	positive	Broad	high	NASP_FEEDBACK	10.1126/science.281.5379.1001	TTP		
